report_date,location,location_type,data_field,data_field_code,time_period_week,time_period_year,value,unit
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_fatal,PR0008,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_age_group_1,PR0009,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_age_group_2,PR0010,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_age_group_3,PR0011,47-4,2015-2016,5,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_age_group_4,PR0012,47-4,2015-2016,9,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_age_group_5,PR0013,47-4,2015-2016,13,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_age_group_6,PR0014,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Adjuntas,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Aguada,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Aguadilla,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Aguas_Buenas,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Aibonito,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Añasco,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Arecibo,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Arroyo,municipality,zika_reported_local,PR0002,47-4,2015-2016,2,cases
2016-02-10,United_States-Puerto_Rico-Barceloneta,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Barranquitas,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Bayamón,municipality,NA,NA,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Cabo Rojo,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Caguas,municipality,zika_reported_local,PR0002,47-4,2015-2016,2,cases
2016-02-10,United_States-Puerto_Rico-Camuy,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Canóvanas,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Carolina,municipality,zika_reported_local,PR0002,47-4,2015-2016,3,cases
2016-02-10,United_States-Puerto_Rico-Cataño,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Cayey,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Ceiba,municipality,zika_reported_local,PR0002,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Ciales,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Cidra,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Coamo,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Comerío,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Corozal,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Culebra,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Dorado,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Fajardo,municipality,zika_reported_local,PR0002,47-4,2015-2016,3,cases
2016-02-10,United_States-Puerto_Rico-Florida,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Guánica,municipality,zika_reported_local,PR0002,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Guayama,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Guayanilla,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Guaynabo,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Gurabo,municipality,NA,NA,47-4,2015-2016,2,cases
2016-02-10,United_States-Puerto_Rico-Hatillo,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Hormigueros,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Humacao,municipality,zika_reported_local,PR0002,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Isabela,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Jayuya,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Juana Díaz,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Juncos,municipality,zika_reported_travel,PR0001,47-4,2015-2016,2,cases
2016-02-10,United_States-Puerto_Rico-Juncos,municipality,zika_reported_local,PR0002,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Lajas,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Lares,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Las_Marías,municipality,NA,NA,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Las_Piedras,municipality,zika_reported_local,PR0002,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Loiza,municipality,NA,NA,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Luquillo,municipality,zika_reported_local,PR0002,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Manatí,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Maricao,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Maunabo,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Mayagüez,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Moca,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Morovis,municipality,NA,NA,47-4,2015-2016,2,cases
2016-02-10,United_States-Puerto_Rico-Naguabo,municipality,zika_reported_local,PR0002,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Naranjito,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Orocovis,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Patillas,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Peñuelas,municipality,NA,NA,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Ponce,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Quebradillas,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Rincón,municipality,NA,NA,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Rio_Grande,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Sábana_Grande,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Salinas,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-San_Germán,municipality,NA,NA,47-4,2015-2016,3,cases
2016-02-10,United_States-Puerto_Rico-San_Juan,municipality,zika_reported_local,PR0002,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-San_Lorenzo,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-San_Sebastián,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Santa_Isabel,municipality,NA,NA,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico-Toa_Alta,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Toa_Baja,municipality,NA,NA,47-4,2015-2016,2,cases
2016-02-10,United_States-Puerto_Rico-Trujillo_Alto,municipality,zika_reported_local,PR0002,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Utuado,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Vega_Alta,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Vega_Baja,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Vieques,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Villalba,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Yabucoa,municipality,NA,NA,47-4,2015-2016,0,cases
2016-02-10,United_States-Puerto_Rico-Yauco,municipality,NA,NA,47-4,2015-2016,0,cases
